;full_name;price;market_cap
1;Bitcoin;$29,382.29;$559,483,038,760
2;Ethereum;$2,000.56;$241,673,040,557
3;Tether;$0.9988;$75,664,145,329
4;USD Coin;$1.00;$51,278,454,240
5;BNB;$294.35;$48,060,208,946
6;XRP;$0.4145;$20,036,669,724
7;Cardano;$0.5527;$18,653,744,421
8;Binance USD;$1.00;$18,034,983,250
9;Solana;$52.91;$17,856,450,096
10;Dogecoin;$0.08661;$11,490,302,244
11;Polkadot;$10.49;$10,360,812,050
12;Avalanche;$32.47;$8,738,017,845
13;Wrapped Bitcoin;$29,447.02;$8,380,738,760
14;TRON;$0.06761;$6,624,125,468
15;Shiba Inu;$0.00001194;$6,554,816,878
16;Dai;$0.9994;$6,431,439,310
17;Polygon;$0.6695;$5,321,944,477
18;Cronos;$0.1869;$4,722,364,797
19;UNUS SED LEO;$4.91;$4,679,939,527
20;Litecoin;$66.12;$4,648,352,720
21;NEAR Protocol;$6.50;$4,479,714,610
22;FTX Token;$31.60;$4,315,074,930
23;Bitcoin Cash;$199.23;$3,798,293,975
24;Uniswap;$5.00;$3,595,059,193
25;Chainlink;$7.29;$3,403,332,981
